numberOfPEs,replicationLevel,roundsUntilIrrecoverableDataLoss
65536,6,6080
65536,6,9926
131072,6,22028
131072,6,16882
131072,6,16312
131072,6,17340
131072,6,26643
131072,6,18799
131072,6,11878
131072,6,17115
131072,6,23621
131072,6,10055
262144,6,30008
262144,6,44174
262144,6,24503
262144,6,26118
262144,6,25883
262144,6,17423
262144,6,39694
262144,6,34337
262144,6,23564
262144,6,11649
524288,6,51048
524288,6,45689
524288,6,51526
524288,6,40001
524288,6,62403
524288,6,56012
524288,6,56128
524288,6,59592
524288,6,33820
524288,6,63950
1048576,6,125603
1048576,6,120111
1048576,6,105422
1048576,6,108218
1048576,6,101917
1048576,6,92459
1048576,6,97978
1048576,6,87731
1048576,6,99502
1048576,6,109129
2097152,6,134941
2097152,6,218837
2097152,6,176881
2097152,6,177509
2097152,6,227795
2097152,6,209620
2097152,6,181472
2097152,6,178839
2097152,6,175649
2097152,6,161069
4194304,6,303911
4194304,6,311357
4194304,6,443562
4194304,6,306088
4194304,6,315078
4194304,6,282283
4194304,6,233629
4194304,6,243535
4194304,6,254736
4194304,6,432408
8388608,6,623392
8388608,6,492233
8388608,6,534598
8388608,6,659074
8388608,6,528730
8388608,6,464193
8388608,6,503163
8388608,6,568323
8388608,6,398293
8388608,6,661337
16777216,6,1292826
16777216,6,1053061
16777216,6,1103758
16777216,6,1201424
16777216,6,1114640
16777216,6,1026829
16777216,6,1189705
16777216,6,736738
16777216,6,1096567
16777216,6,1115650
33554432,6,1210267
33554432,6,1426683
33554432,6,1722580
33554432,6,1510619
33554432,6,2284800
33554432,6,1725401
33554432,6,1973197
33554432,6,2223890
33554432,6,1946068
33554432,6,1607087
