simulation_id,mode,seed,num_ranks,num_blocks,replication_level,failures_until_data_loss
indep-ranks-rankwise,rank,3,100,100000000,2,8
indep-ranks-rankwise,rank,4,100,100000000,2,19
indep-ranks-rankwise,rank,5,100,100000000,2,6
indep-ranks-rankwise,rank,6,100,100000000,2,11
indep-ranks-rankwise,rank,7,100,100000000,2,5
indep-ranks-rankwise,rank,8,100,100000000,2,12
indep-ranks-rankwise,rank,9,100,100000000,2,20
indep-ranks-rankwise,rank,0,1000,100000000,2,44
indep-ranks-rankwise,rank,1,1000,100000000,2,44
indep-ranks-rankwise,rank,2,1000,100000000,2,58
indep-ranks-rankwise,rank,3,1000,100000000,2,22
indep-ranks-rankwise,rank,4,1000,100000000,2,71
indep-ranks-rankwise,rank,5,1000,100000000,2,45
indep-ranks-rankwise,rank,6,1000,100000000,2,50
indep-ranks-rankwise,rank,7,1000,100000000,2,12
indep-ranks-rankwise,rank,8,1000,100000000,2,28
indep-ranks-rankwise,rank,9,1000,100000000,2,46
indep-ranks-rankwise,rank,0,10000,100000000,2,23
indep-ranks-rankwise,rank,1,10000,100000000,2,23
indep-ranks-rankwise,rank,2,10000,100000000,2,74
indep-ranks-rankwise,rank,3,10000,100000000,2,215
indep-ranks-rankwise,rank,4,10000,100000000,2,94
indep-ranks-rankwise,rank,5,10000,100000000,2,69
indep-ranks-rankwise,rank,6,10000,100000000,2,74
indep-ranks-rankwise,rank,7,10000,100000000,2,181
indep-ranks-rankwise,rank,8,10000,100000000,2,220
indep-ranks-rankwise,rank,9,10000,100000000,2,174
indep-ranks-rankwise,rank,0,100000,100000000,2,291
indep-ranks-rankwise,rank,1,100000,100000000,2,291
indep-ranks-rankwise,rank,2,100000,100000000,2,240
indep-ranks-rankwise,rank,3,100000,100000000,2,56
indep-ranks-rankwise,rank,4,100000,100000000,2,295
indep-ranks-rankwise,rank,5,100000,100000000,2,567
indep-ranks-rankwise,rank,6,100000,100000000,2,300
indep-ranks-rankwise,rank,7,100000,100000000,2,527
indep-ranks-rankwise,rank,8,100000,100000000,2,826
indep-ranks-rankwise,rank,9,100000,100000000,2,318
indep-ranks-rankwise,rank,0,1000000,100000000,2,1040
indep-ranks-rankwise,rank,1,1000000,100000000,2,1040
indep-ranks-rankwise,rank,2,1000000,100000000,2,1188
indep-ranks-rankwise,rank,3,1000000,100000000,2,614
indep-ranks-rankwise,rank,4,1000000,100000000,2,1059
indep-ranks-rankwise,rank,5,1000000,100000000,2,936
indep-ranks-rankwise,rank,6,1000000,100000000,2,335
indep-ranks-rankwise,rank,7,1000000,100000000,2,1391
indep-ranks-rankwise,rank,8,1000000,100000000,2,1669
indep-ranks-rankwise,rank,9,1000000,100000000,2,2776
indep-ranks-rankwise,rank,0,10,100000000,3,7
