numerOfPEs,name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
2,"BM_submitBlocks/64/4/1048576/manual_time",40,17.6893,21.9598,ms,,,,,
2,"BM_submitBlocks/64/4/1048576/manual_time",40,17.7373,22.0195,ms,,,,,
2,"BM_submitBlocks/64/4/1048576/manual_time",40,17.7251,21.9966,ms,,,,,
2,"BM_submitBlocks/64/4/1048576/manual_time",40,18.1371,22.5091,ms,,,,,
2,"BM_submitBlocks/64/4/1048576/manual_time_mean",5,17.8012,22.0968,ms,,,,,
2,"BM_submitBlocks/64/4/1048576/manual_time_median",5,17.7251,21.9988,ms,,,,,
2,"BM_submitBlocks/64/4/1048576/manual_time_stddev",5,0.188578,0.231528,ms,,,,,
2,"BM_submitBlocks/128/4/1048576/manual_time",39,17.6989,21.447,ms,,,,,
2,"BM_submitBlocks/128/4/1048576/manual_time",39,17.6841,21.4283,ms,,,,,
2,"BM_submitBlocks/128/4/1048576/manual_time",39,17.9154,21.6813,ms,,,,,
2,"BM_submitBlocks/128/4/1048576/manual_time",39,18.1182,21.9004,ms,,,,,
2,"BM_submitBlocks/128/4/1048576/manual_time",39,17.7352,21.4698,ms,,,,,
2,"BM_submitBlocks/128/4/1048576/manual_time_mean",5,17.8304,21.5854,ms,,,,,
2,"BM_submitBlocks/128/4/1048576/manual_time_median",5,17.7352,21.4698,ms,,,,,
2,"BM_submitBlocks/128/4/1048576/manual_time_stddev",5,0.185618,0.203479,ms,,,,,
2,"BM_submitBlocks/256/4/1048576/manual_time",40,17.488,21.0198,ms,,,,,
2,"BM_submitBlocks/256/4/1048576/manual_time",40,17.4978,21.0253,ms,,,,,
2,"BM_submitBlocks/256/4/1048576/manual_time",40,17.5931,21.1246,ms,,,,,
2,"BM_submitBlocks/256/4/1048576/manual_time",40,17.5709,21.105,ms,,,,,
2,"BM_submitBlocks/256/4/1048576/manual_time",40,17.5974,21.1232,ms,,,,,
2,"BM_submitBlocks/256/4/1048576/manual_time_mean",5,17.5494,21.0796,ms,,,,,
2,"BM_submitBlocks/256/4/1048576/manual_time_median",5,17.5709,21.105,ms,,,,,
2,"BM_submitBlocks/256/4/1048576/manual_time_stddev",5,0.0526989,0.05267,ms,,,,,
2,"BM_submitBlocks/512/4/1048576/manual_time",40,17.5303,20.8586,ms,,,,,
2,"BM_submitBlocks/512/4/1048576/manual_time",40,17.5418,20.8712,ms,,,,,
2,"BM_submitBlocks/512/4/1048576/manual_time",40,17.5122,20.8439,ms,,,,,
2,"BM_submitBlocks/512/4/1048576/manual_time",40,17.5288,20.8532,ms,,,,,
2,"BM_submitBlocks/512/4/1048576/manual_time",40,17.4908,20.8191,ms,,,,,
2,"BM_submitBlocks/512/4/1048576/manual_time_mean",5,17.5208,20.8492,ms,,,,,
2,"BM_submitBlocks/512/4/1048576/manual_time_median",5,17.5288,20.8532,ms,,,,,
2,"BM_submitBlocks/512/4/1048576/manual_time_stddev",5,0.019818,0.0194932,ms,,,,,
