code,numberOfNodes,benchmark,bytesPerBlock,replicationLevel,bytesPerRank,iterations,real_time,cpu_time,time_unit
with-id-compression,4,pushBlocks,1024,3,16777216,8,82.33,82.641,ms
with-id-compression,4,pushBlocks,1024,3,16777216,8,82.8959,83.7711,ms
with-id-compression,4,pushBlocks,1024,3,16777216,8,82.8455,83.1444,ms
with-id-compression,4,pushBlocks,1024,3,16777216,8,84.0951,84.4688,ms
with-id-compression,4,pushBlocks,1048576,3,16777216,8,93.1271,92.3476,ms
with-id-compression,4,pushBlocks,1048576,3,16777216,8,91.1588,90.3991,ms
with-id-compression,4,pushBlocks,1048576,3,16777216,8,91.885,91.1852,ms
with-id-compression,4,pushBlocks,1048576,3,16777216,8,91.5352,90.5164,ms
with-id-compression,4,pushBlocks,1048576,3,16777216,8,91.4654,90.7458,ms
with-id-compression,4,pushBlocks,8,4,16777216,3,228.263,316.536,ms
with-id-compression,4,pushBlocks,8,4,16777216,3,212.435,301.817,ms
with-id-compression,4,pushBlocks,8,4,16777216,3,209.5,294.134,ms
with-id-compression,4,pushBlocks,8,4,16777216,3,212.865,300.095,ms
with-id-compression,4,pushBlocks,8,4,16777216,3,209.467,299.355,ms
with-id-compression,4,pushBlocks,1024,4,16777216,7,93.5334,88.0101,ms
with-id-compression,4,pushBlocks,1024,4,16777216,7,93.0203,87.5238,ms
with-id-compression,4,pushBlocks,1024,4,16777216,7,93.8927,88.4863,ms
with-id-compression,4,pushBlocks,1024,4,16777216,7,93.0939,88.2561,ms
with-id-compression,4,pushBlocks,1024,4,16777216,7,92.8623,87.7347,ms
with-id-compression,4,pushBlocks,1048576,4,16777216,6,91.8465,84.6846,ms
with-id-compression,4,pushBlocks,1048576,4,16777216,6,93.8641,86.8833,ms
with-id-compression,4,pushBlocks,1048576,4,16777216,6,94.3128,87.0074,ms
with-id-compression,4,pushBlocks,1048576,4,16777216,6,90.3563,83.421,ms
with-id-compression,4,pushBlocks,1048576,4,16777216,6,89.4234,82.2162,ms
with-id-compression,4,pushBlocks,8,2,33554432,1,569.842,743.831,ms
with-id-compression,4,pushBlocks,8,2,33554432,1,506.789,669.041,ms
with-id-compression,4,pushBlocks,8,2,33554432,1,536.575,687.187,ms
with-id-compression,4,pushBlocks,8,2,33554432,1,523.39,674.022,ms
with-id-compression,4,pushBlocks,8,2,33554432,1,498.659,667.343,ms
with-id-compression,4,pushBlocks,1024,2,33554432,4,150.74,138.651,ms
with-id-compression,4,pushBlocks,1024,2,33554432,4,148.727,135.655,ms
with-id-compression,4,pushBlocks,1024,2,33554432,4,151.376,138.396,ms
with-id-compression,4,pushBlocks,1024,2,33554432,4,150.775,140.714,ms
with-id-compression,4,pushBlocks,1024,2,33554432,4,150.167,132.938,ms
with-id-compression,4,pushBlocks,1048576,2,33554432,4,141.106,125.898,ms
with-id-compression,4,pushBlocks,1048576,2,33554432,4,142.203,127.59,ms
with-id-compression,4,pushBlocks,1048576,2,33554432,4,139.026,124.373,ms
with-id-compression,4,pushBlocks,1048576,2,33554432,4,138.099,122.788,ms
with-id-compression,4,pushBlocks,1048576,2,33554432,4,139.657,123.903,ms
with-id-compression,4,pushBlocks,8,3,33554432,1,708.263,863.62,ms
with-id-compression,4,pushBlocks,8,3,33554432,1,790.231,915.415,ms
with-id-compression,4,pushBlocks,8,3,33554432,1,803.362,927.613,ms
with-id-compression,4,pushBlocks,8,3,33554432,1,841.038,949.272,ms
with-id-compression,4,pushBlocks,8,3,33554432,1,740.511,896.825,ms
with-id-compression,4,pushBlocks,1024,3,33554432,4,180.499,171.796,ms
with-id-compression,4,pushBlocks,1024,3,33554432,4,175.427,167.161,ms
with-id-compression,4,pushBlocks,1024,3,33554432,4,175.496,167.952,ms
with-id-compression,4,pushBlocks,1024,3,33554432,4,175.508,166.764,ms
with-id-compression,4,pushBlocks,1024,3,33554432,4,187.001,179.141,ms
with-id-compression,4,pushBlocks,1048576,3,33554432,3,189.573,180.662,ms
with-id-compression,4,pushBlocks,1048576,3,33554432,3,185.061,170.802,ms
with-id-compression,4,pushBlocks,1048576,3,33554432,3,187.042,175.39,ms
with-id-compression,4,pushBlocks,1048576,3,33554432,3,180.841,155.319,ms
with-id-compression,4,pushBlocks,1048576,3,33554432,3,186.843,172.013,ms
with-id-compression,4,pushBlocks,8,4,33554432,1,1051.25,1209.4,ms
with-id-compression,4,pushBlocks,8,4,33554432,1,1107.63,1269,ms
with-id-compression,4,pushBlocks,8,4,33554432,1,1088.27,1241.41,ms
with-id-compression,4,pushBlocks,8,4,33554432,1,1045.38,1193.89,ms
with-id-compression,4,pushBlocks,8,4,33554432,1,1004.95,1158.12,ms
with-id-compression,4,pushBlocks,1024,4,33554432,3,192.045,176.117,ms
with-id-compression,4,pushBlocks,1024,4,33554432,3,189.83,174.802,ms
with-id-compression,4,pushBlocks,1024,4,33554432,3,186.882,171.184,ms
with-id-compression,4,pushBlocks,1024,4,33554432,3,184.382,168.936,ms
with-id-compression,4,pushBlocks,1024,4,33554432,3,182.799,162.522,ms
with-id-compression,4,pushBlocks,1048576,4,33554432,4,172.256,158.936,ms
with-id-compression,4,pushBlocks,1048576,4,33554432,4,182.893,170.156,ms
with-id-compression,4,pushBlocks,1048576,4,33554432,4,180.03,166.822,ms
with-id-compression,4,pushBlocks,1048576,4,33554432,4,178.89,164.954,ms
with-id-compression,4,pushBlocks,1048576,4,33554432,4,180.94,167.047,ms
with-id-compression,4,pushBlocks,8,2,67108864,1,1736.63,2054.51,ms
with-id-compression,4,pushBlocks,8,2,67108864,1,1676.29,1963.53,ms
with-id-compression,4,pushBlocks,8,2,67108864,1,1694.56,1997.48,ms
with-id-compression,4,pushBlocks,8,2,67108864,1,1662.25,1927.26,ms
with-id-compression,4,pushBlocks,8,2,67108864,1,1694.19,1996.24,ms
with-id-compression,4,pushBlocks,1024,2,67108864,1,1166.21,1063.4,ms
with-id-compression,4,pushBlocks,1024,2,67108864,1,1170.8,1068.78,ms
with-id-compression,4,pushBlocks,1024,2,67108864,1,1169.45,1069.11,ms
with-id-compression,4,pushBlocks,1024,2,67108864,1,1167.46,1064.56,ms
with-id-compression,4,pushBlocks,1024,2,67108864,1,1179.82,1076.54,ms
with-id-compression,4,pushBlocks,1048576,2,67108864,1,1172.2,1061.74,ms
with-id-compression,4,pushBlocks,1048576,2,67108864,1,1178.42,1068.96,ms
with-id-compression,4,pushBlocks,1048576,2,67108864,1,1159.75,1059.72,ms
with-id-compression,4,pushBlocks,1048576,2,67108864,1,1143.95,1035.15,ms
with-id-compression,4,pushBlocks,1048576,2,67108864,1,1140.96,1036.52,ms
with-id-compression,4,pushBlocks,8,3,67108864,1,2336.48,2618.49,ms
with-id-compression,4,pushBlocks,8,3,67108864,1,2336.94,2641.54,ms
with-id-compression,4,pushBlocks,8,3,67108864,1,2356.59,2630.04,ms
with-id-compression,4,pushBlocks,8,3,67108864,1,2337.89,2622.54,ms
with-id-compression,4,pushBlocks,8,3,67108864,1,2348.67,2625.26,ms
with-id-compression,4,pushBlocks,1024,3,67108864,1,1776.2,1675.09,ms
with-id-compression,4,pushBlocks,1024,3,67108864,1,1722.39,1614.18,ms
with-id-compression,4,pushBlocks,1024,3,67108864,1,1523.26,1435.17,ms
with-id-compression,4,pushBlocks,1024,3,67108864,1,1556.27,1469.44,ms
with-id-compression,4,pushBlocks,1024,3,67108864,1,1507.75,1405.95,ms
with-id-compression,4,pushBlocks,1048576,3,67108864,1,1749.31,1636.86,ms
with-id-compression,4,pushBlocks,1048576,3,67108864,1,1486.14,1389.1,ms
with-id-compression,4,pushBlocks,1048576,3,67108864,1,1603.72,1499.69,ms
with-id-compression,4,pushBlocks,1048576,3,67108864,1,1491.77,1393.66,ms
with-id-compression,4,pushBlocks,1048576,3,67108864,1,1622.55,1524.99,ms
with-id-compression,4,pushBlocks,8,4,67108864,1,2788.4,3088.83,ms
with-id-compression,4,pushBlocks,8,4,67108864,1,2839.41,3092.41,ms
with-id-compression,4,pushBlocks,8,4,67108864,1,3022.33,3265.68,ms
with-id-compression,4,pushBlocks,8,4,67108864,1,2973.25,3242.41,ms
with-id-compression,4,pushBlocks,8,4,67108864,1,2887.83,3146.61,ms
