idRandomization,numberOfNodes,benchmark,bytesPerBlock,replicationLevel,bytesPerRank,blocksPerPermutationRange,promilleOfRanksThatFail,iterations,real_time,cpu_time,time_unit
TRUE,1,pullBlocksSmallRange,64,4,16777216,1024,10,1115,0.624544,0.640806,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1024,10,1115,0.624962,0.644537,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1024,10,1115,0.624601,0.63882,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2048,10,1125,0.621933,0.636233,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2048,10,1125,0.622617,0.638269,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2048,10,1125,0.62287,0.637108,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2048,10,1125,0.621666,0.636454,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2048,10,1125,0.633069,0.646756,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4096,10,1071,0.649466,0.664922,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4096,10,1071,0.645949,0.661194,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4096,10,1071,0.649133,0.664698,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4096,10,1071,0.680957,0.697482,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4096,10,1071,0.650031,0.665323,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8192,10,886,0.789587,0.811205,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8192,10,886,0.787688,0.81019,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8192,10,886,0.795917,0.817903,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8192,10,886,0.787981,0.808444,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8192,10,886,0.792844,0.813229,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16384,10,864,0.822904,0.841908,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16384,10,864,0.821634,0.838367,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16384,10,864,0.822617,0.841678,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16384,10,864,0.823497,0.839822,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16384,10,864,0.822494,0.840486,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32768,10,733,0.977114,0.99222,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32768,10,733,0.974251,0.989886,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32768,10,733,0.979912,0.995568,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32768,10,733,0.974546,0.989582,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32768,10,733,0.976221,0.991609,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,65536,10,619,1.12307,1.1442,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,65536,10,619,1.12473,1.14562,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,65536,10,619,1.12469,1.14526,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,65536,10,619,1.1237,1.14557,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,65536,10,619,1.12533,1.14628,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,131072,10,506,1.34062,1.37307,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,131072,10,506,1.34365,1.37457,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,131072,10,506,1.34167,1.37362,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,131072,10,506,1.34288,1.3738,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,131072,10,506,1.36064,1.39247,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,262144,10,340,2.05386,2.07937,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,262144,10,340,2.05596,2.08182,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,262144,10,340,2.05405,2.078,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,262144,10,340,2.05425,2.07924,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,262144,10,340,2.05775,2.08319,ms
TRUE,2,pullBlocksSmallRange,64,4,16777216,1,10,90,7.50637,8.4713,ms
TRUE,2,pullBlocksSmallRange,64,4,16777216,1,10,90,7.69496,7.86011,ms
TRUE,2,pullBlocksSmallRange,64,4,16777216,1,10,90,7.71087,7.9389,ms
TRUE,2,pullBlocksSmallRange,64,4,16777216,1,10,90,7.55265,7.6222,ms
TRUE,2,pullBlocksSmallRange,64,4,16777216,1,10,90,7.53592,7.63471,ms
